firstName,lastName,age,email,selfDescription,projectDescription,imgSrc,technologies,technologies
Orson,Smith,25,student@mail.com,leo odio condimentum id luctus nec molestie sed justo,Daltfresh,person.png,img/tech2.png,img/tech4.png
Heinrik,Smith,25,student@mail.com,volutpat sapien arcu sed augue aliquam erat,Otcom,person.png,img/tech1.png,img/tech4.png
Erhart,Smith,25,student@mail.com,faucibus orci luctus et ultrices,Zontrax,person.png,img/tech3.png,img/tech4.png
Rebeka,Smith,25,student@mail.com,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,Sonair,person.png,img/tech1.png,img/tech4.png
Lyle,Smith,25,student@mail.com,id consequat in consequat ut nulla sed accumsan,Span,person.png,img/tech4.png,img/tech4.png
Jaine,Smith,25,student@mail.com,amet nulla quisque arcu libero rutrum ac lobortis vel,Greenlam,person.png,img/tech1.png,img/tech4.png
Rebecka,Smith,25,student@mail.com,ut odio cras mi pede malesuada in imperdiet et commodo vulputate,Mat Lam Tam,person.png,img/tech1.png,img/tech4.png
Hector,Smith,25,student@mail.com,quam suspendisse potenti nullam porttitor lacus at,Transcof,person.png,img/tech1.png,img/tech4.png
Augusta,Smith,25,student@mail.com,lacinia sapien quis libero nullam sit amet,Fintone,person.png,img/tech1.png,img/tech4.png
Barnie,Smith,25,student@mail.com,eu mi nulla ac enim in tempor turpis nec euismod,Matsoft,person.png,img/tech1.png,img/tech4.png
Chancey,Smith,25,student@mail.com,integer ac leo pellentesque ultrices,Cardguard,person.png,img/tech1.png,img/tech4.png
Bancroft,Smith,25,student@mail.com,dolor morbi vel lectus in quam fringilla rhoncus,Zaam-Dox,person.png,img/tech1.png,img/tech4.png
Alethea,Smith,25,student@mail.com,amet diam in magna bibendum imperdiet nullam orci pede venenatis,Sonair,person.png,img/tech1.png,img/tech4.png
Randy,Smith,25,student@mail.com,risus praesent lectus vestibulum quam sapien varius,Cookley,person.png,img/tech1.png,
Annabela,Smith,25,student@mail.com,velit vivamus vel nulla eget eros elementum pellentesque quisque porta,Greenlam,person.png,img/tech1.png,img/tech4.png
Ellwood,Smith,25,student@mail.com,ut suscipit a feugiat et eros,Toughjoyfax,person.png,img/tech1.png,img/tech4.png
Sylvia,Smith,25,student@mail.com,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,Solarbreeze,person.png,img/tech1.png,img/tech4.png
Barnaby,Smith,25,student@mail.com,ac leo pellentesque ultrices mattis odio,Rank,person.png,img/tech1.png,img/tech4.png
Valene,Smith,25,student@mail.com,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Trippledex,person.png,img/tech1.png,img/tech4.png
